inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
S.2,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,1,,,,,,,,,,,,,,,
E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,ACC,,,,,,,,,,,,,,,,
E-varinicio,S.4,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,,3,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.9,S.10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.15,E-ID-leia-escreva-se-fim,,,,,,,5,6,,7,,,8,12,,
E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S.49,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S.56,S.57,S.58,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,,,47,48,,51,,,,,,,,,,
E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,R.2,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.9,S.10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.15,E-ID-leia-escreva-se-fim,,,,,,,14,6,,7,,,8,12,,
E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.9,S.10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.15,E-ID-leia-escreva-se-fim,,,,,,,16,6,,7,,,8,12,,
E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.9,S.10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S.15,E-ID-leia-escreva-se-fim,,,,,,,17,6,,7,,,8,12,,
E-ID,E-ID,E-ID,E-ID,S.18,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,,,,,,,,,,,,
E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,S.23,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,S.21,S.22,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,,,,,,,,,20,,,,,,,
E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,S.25,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.9,S.10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S.35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,31
E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,S.60,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,,,,,,,,,,,,,,,,
E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,R.12,,,,,,,,,,,,,,,,
